timestamp	sequence_index	compound_id	descriptor	value	sigma	challenge_split
2015-06-04T00:00:00Z	0	243	INTENSITY/STRENGTH	16.6327	25.561	LBs2
2015-06-04T00:00:01Z	1	454	INTENSITY/STRENGTH	65.5102	27.7422	LBs2
2015-06-04T00:00:02Z	2	679	INTENSITY/STRENGTH	18.4286	28.3012	LBs2
2015-06-04T00:00:03Z	3	1030	INTENSITY/STRENGTH	3.898	9.7345	LBs2
2015-06-04T00:00:04Z	4	1060	INTENSITY/STRENGTH	67.898	26.3195	LBs2
2015-06-04T00:00:05Z	5	2682	INTENSITY/STRENGTH	21.9592	27.3275	LBs2
2015-06-04T00:00:06Z	6	6137	INTENSITY/STRENGTH	41.2653	36.433	LBs2
2015-06-04T00:00:07Z	7	6386	INTENSITY/STRENGTH	11.8571	24.2805	LBs2
2015-06-04T00:00:08Z	8	243	VALENCE/PLEASANTNESS	34.0769	22.4694	LBs2
2015-06-04T00:00:09Z	9	454	VALENCE/PLEASANTNESS	32.0833	22.4061	LBs2
2015-06-04T00:00:10Z	10	679	VALENCE/PLEASANTNESS	35.7941	23.343	LBs2
2015-06-04T00:00:11Z	11	1030	VALENCE/PLEASANTNESS	48.1538	25.0307	LBs2
2015-06-04T00:00:12Z	12	1060	VALENCE/PLEASANTNESS	40.383	27.8978	LBs2
2015-06-04T00:00:13Z	13	2682	VALENCE/PLEASANTNESS	42.9773	24.156	LBs2
2015-06-04T00:00:14Z	14	6137	VALENCE/PLEASANTNESS	18.4255	21.1945	LBs2
2015-06-04T00:00:15Z	15	6386	VALENCE/PLEASANTNESS	46.2326	25.1461	LBs2
2015-06-04T00:00:16Z	16	243	BAKERY	3.2308	14.0551	LBs2
2015-06-04T00:00:17Z	17	454	BAKERY	0.0208	0.1443	LBs2
2015-06-04T00:00:18Z	18	679	BAKERY	2.1176	10.8677	LBs2
2015-06-04T00:00:19Z	19	1030	BAKERY	3.5769	12.248	LBs2
2015-06-04T00:00:20Z	20	1060	BAKERY	8.4681	21.9741	LBs2
2015-06-04T00:00:21Z	21	2682	BAKERY	13.1364	26.0675	LBs2
2015-06-04T00:00:22Z	22	6137	BAKERY	2.7447	14.8096	LBs2
2015-06-04T00:00:23Z	23	6386	BAKERY	0	0	LBs2
2015-06-04T00:00:24Z	24	243	SWEET	2.6538	5.4987	LBs2
2015-06-04T00:00:25Z	25	454	SWEET	3.4792	12.4336	LBs2
2015-06-04T00:00:26Z	26	679	SWEET	9.0882	20.9203	LBs2
2015-06-04T00:00:27Z	27	1030	SWEET	6.8462	18.8227	LBs2
2015-06-04T00:00:28Z	28	1060	SWEET	19.7234	31.1223	LBs2
2015-06-04T00:00:29Z	29	2682	SWEET	8.5227	20.2375	LBs2
2015-06-04T00:00:30Z	30	6137	SWEET	2.9787	9.7256	LBs2
2015-06-04T00:00:31Z	31	6386	SWEET	6.5581	14.5099	LBs2
2015-06-04T00:00:32Z	32	243	FRUIT	0.7692	2.8469	LBs2
2015-06-04T00:00:33Z	33	454	FRUIT	3.125	14.9988	LBs2
2015-06-04T00:00:34Z	34	679	FRUIT	1	3.8769	LBs2
2015-06-04T00:00:35Z	35	1030	FRUIT	2.2308	10.0172	LBs2
2015-06-04T00:00:36Z	36	1060	FRUIT	0.0213	0.1459	LBs2
2015-06-04T00:00:37Z	37	2682	FRUIT	9.1591	19.5138	LBs2
2015-06-04T00:00:38Z	38	6137	FRUIT	1.0851	7.2915	LBs2
2015-06-04T00:00:39Z	39	6386	FRUIT	2.2326	10.5059	LBs2
2015-06-04T00:00:40Z	40	243	FISH	2.1923	8.8995	LBs2
2015-06-04T00:00:41Z	41	454	FISH	0.0208	0.1443	LBs2
2015-06-04T00:00:42Z	42	679	FISH	3.2941	14.8273	LBs2
2015-06-04T00:00:43Z	43	1030	FISH	0.0385	0.1961	LBs2
2015-06-04T00:00:44Z	44	1060	FISH	1.2766	6.0888	LBs2
2015-06-04T00:00:45Z	45	2682	FISH	0.0682	0.3339	LBs2
2015-06-04T00:00:46Z	46	6137	FISH	6.5106	15.1412	LBs2
2015-06-04T00:00:47Z	47	6386	FISH	0	0	LBs2
